Category,Rule ID / State,Name / Condition,In-Body Syntax / Rule,Bottom Definition Syntax / Rule,Suggested Fix / Overload Result,Example Before,Example After
Citation Standard,apa7_parenthetical,APA 7 (Author Year),"(Author, Year)","Author (Year). Title. Journal.","N/A","N/A","(Chen et al., 2024)"
Citation Standard,apa7_narrative,APA 7 Narrative,"Author (Year)","Author (Year). Title. Journal.","N/A","N/A","Chen et al. (2024)"
Citation Standard,ieee,IEEE Numeric,"[1]","[1] Author, ""Title,"" Journal, 2024.","N/A","N/A","[1]"
Citation Standard,harvard,Harvard (Author Year),"(Author Year)","Author (Year) 'Title', Journal.","N/A","N/A","(Chen et al. 2024)"
Citation Standard,chicago,Chicago (Author Year),"(Author Year)","Author. Year. ""Title."" Journal.","N/A","N/A","(Chen et al. 2024)"
Citation Standard,vancouver,Vancouver Numeric,"(1)","1. Author. Title. Journal. 2024.","N/A","N/A","(1)"
Citation Standard,citekey,Pandoc Citekey,"[@key]","Author (Year). Title. Journal.","N/A","N/A","[@Chen2024]"
Citation Standard,footnote_global,Global Footnote Mode,"[^key]","[^key]: Author (Year). Title. Journal.","N/A","N/A","[^Chen2024]"
Overloading,pandoc_group,Pandoc Citekey Group,"Cursor inside [@Smith2020]","N/A","[@Smith2020; @Jones2021]","[@Smith2020]","[@Smith2020; @Jones2021]"
Overloading,author_date_group,Author-Date Parenthetical,"Cursor inside (Smith, 2020)","N/A","(Jones & Brown, 2021; Smith, 2020)","(Smith, 2020)","(Jones & Brown, 2021; Smith, 2020)"
Overloading,ieee_numeric_group,IEEE Numeric Bracket,"Cursor inside [1]","N/A","[1, 2]","[1]","[1, 2]"
Overloading,vancouver_numeric_group,Vancouver Numeric Paren,"Cursor inside (1)","N/A","(1, 2)","(1)","(1, 2)"
Overloading,footnote_group,Footnote Call,"Cursor inside/at [^Smith2020]","N/A","[^Smith2020][^Jones2021]","[^Smith2020]","[^Smith2020][^Jones2021]"
Linter Decision,lint_fn_mismatch_authordate,Footnote ON with (Author Year),"(Author, Year)","N/A","[^citekey]","(Chen et al., 2024)","[^Chen2024]"
Linter Decision,lint_fn_mismatch_citekey,Footnote ON with [@key],"[@citekey]","N/A","[^citekey]","[@Chen2024]","[^Chen2024]"
Linter Decision,lint_fn_mismatch_multi,Footnote ON with (A Year; B Year),"(A, 2020; B, 2021)","N/A","[^citekeyA][^citekeyB]","(Smith, 2020; Jones, 2021)","[^Smith2020][^Jones2021]"
Linter Decision,lint_fn_mismatch_bottom_prefix,Footnote ON missing bottom prefix,"N/A","Missing [^key]: prefix","[^key]: <CSL Entry>","Chen, Q. (2024)...","[^Chen2024]: Chen, Q. (2024)..."
Linter Decision,lint_std_mismatch_fn_call,Footnote OFF with [^key],"[^citekey]","N/A","(Author, Year) or [1] or (1)","[^Chen2024]","(Chen et al., 2024)"
Linter Decision,lint_std_mismatch_bottom_prefix,Footnote OFF with [^key]: stub,"N/A","Has [^key]: prefix","<CSL Entry> (un-prefixed)","[^Chen2024]: Chen, Q...","Chen, Q. (2024)..."
Linter Decision,lint_orphan_definition,Orphan Definition (0 In-Body),"N/A","Unreferenced bottom entry","[Empty string - 1-click purge]","Unused reference line","[Line removed]"
Linter Decision,lint_unresolved,Unresolved Citation,"[@missing] or [^missing]","N/A","[Open Create Modal or Purge]","[@MissingKey]","[Resolved / Purged]"
